序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
86|000625|长安汽车|26|19.0|7.0|0.0|0.0|0.0|0.738480970705|0.592307692308|0.801538461538|1.0088
87|300498|温氏股份|25|19.0|6.0|0.0|0.0|0.0|1.387213695164|1.08068|1.63412|2.118625
88|300896|爱美客|25|15.0|9.0|1.0|0.0|0.0|6.469425639492|5.12724|6.01092|6.877375
89|000786|北新建材|25|16.0|9.0|0.0|0.0|0.0|2.142442282044|2.06672|2.4108|2.711652173913
90|688775|影石创新|25|12.0|12.0|1.0|0.0|0.0|2.480671196434|2.835038461538|4.251423076923|6.05904
91|300888|稳健医疗|25|18.0|7.0|0.0|0.0|0.0|1.194132464399|1.74992|2.10472|2.481416666667
92|603816|顾家家居|25|18.0|7.0|0.0|0.0|0.0|1.724434786735|2.315653846154|2.536730769231|2.7766
93|002487|大金重工|25|20.0|5.0|0.0|0.0|0.0|0.743042494364|1.704666666667|2.396208333333|3.183913043478
94|002271|东方雨虹|25|17.0|8.0|0.0|0.0|0.0|0.045285396663|0.4772|0.7076|0.902916666667
95|002475|立讯精密|25|19.0|6.0|0.0|0.0|0.0|1.835410764344|2.3284|2.958|3.602916666667
96|002415|海康威视|24|18.0|6.0|0.0|0.0|0.0|1.306873419687|1.490833333333|1.690583333333|1.932260869565
97|601601|中国太保|24|19.0|5.0|0.0|0.0|0.0|4.673430793523|5.452|5.851|6.494736842105
98|603129|春风动力|24|15.0|9.0|0.0|0.0|0.0|9.645981588013|12.305416666667|15.630833333333|19.041739130435
99|600415|小商品城|24|17.0|6.0|1.0|0.0|0.0|0.56052599565|0.815083333333|1.092291666667|1.288916666667
100|600036|招商银行|24|16.0|8.0|0.0|0.0|0.0|5.883898036002|5.83875|6.041666666667|6.343043478261
101|300059|东方财富|24|19.0|5.0|0.0|0.0|0.0|0.608080095813|0.786086956522|0.89652173913|0.994090909091
102|002142|宁波银行|24|17.0|7.0|0.0|0.0|0.0|4.107916564555|4.362916666667|4.761666666667|5.236956521739
103|601838|成都银行|24|17.0|6.0|1.0|0.0|0.0|3.033756308633|3.188260869565|3.413043478261|3.676363636364
104|300476|胜宏科技|24|18.0|6.0|0.0|0.0|0.0|1.326399734689|5.872608695652|9.8|14.166818181818
105|601899|紫金矿业|24|19.0|5.0|0.0|0.0|0.0|1.205927953046|1.85875|2.255416666667|2.531739130435
106|002984|森麒麟|24|20.0|4.0|0.0|0.0|0.0|2.110290318584|1.50725|2.02825|2.330272727273
107|603899|晨光股份|24|19.0|5.0|0.0|0.0|0.0|1.515623550289|1.53088|1.71672|1.915166666667
108|603993|洛阳钼业|24|19.0|5.0|0.0|0.0|0.0|0.632506254776|0.875416666667|1.057916666667|1.162608695652
109|300015|爱尔眼科|24|16.0|7.0|1.0|0.0|0.0|0.381330248732|0.409695652174|0.46852173913|0.538045454545
110|603833|欧派家居|24|18.0|5.0|1.0|0.0|0.0|4.266792719749|4.056583333333|4.363583333333|4.708347826087
111|000157|中联重科|24|20.0|4.0|0.0|0.0|0.0|0.407048989693|0.569916666667|0.705208333333|0.837434782609
112|600398|海澜之家|24|21.0|3.0|0.0|0.0|0.0|0.449449482953|0.479130434783|0.538043478261|0.595545454545
